timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648706130875,391,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,386,0,354
1648706131269,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131289,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131310,21,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,21,0,0
1648706131332,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131353,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706131372,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131392,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706131412,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131433,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131454,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131475,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131496,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131516,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131536,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706131556,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706131576,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131597,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131618,21,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,21,0,0
1648706131640,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131661,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706131681,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131702,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706131722,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706131741,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706131760,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706131780,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706131800,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131820,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131840,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131861,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706131881,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131901,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706131920,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706131940,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706131958,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706131976,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706131996,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706132016,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132035,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132054,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132073,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132092,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706132113,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,17,0,0
1648706132131,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706132149,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706132167,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706132185,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706132203,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706132221,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706132240,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706132258,24,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,24,0,0
1648706132283,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132303,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132323,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132343,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706132362,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132382,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132402,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132421,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132441,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132461,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706132480,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132500,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132520,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132540,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132560,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706132579,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706132598,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132617,21,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,21,0,0
1648706132639,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132658,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706132678,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132698,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706132717,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706132736,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132756,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132776,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132796,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132815,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132834,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132853,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132872,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132891,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132911,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706132930,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132950,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706132969,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,20,0,0
1648706132989,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706133009,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706133028,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706133048,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706133066,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706133086,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706133105,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706133125,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706133145,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706133164,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706133183,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706133202,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706133222,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706133241,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706133261,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706133281,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706133300,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706133320,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706133339,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706133359,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,18,0,0
1648706133378,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
1648706133398,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2559,118,1,1,https://www.baidu.com/,19,0,0
