名称,并发数量,持续时间(秒),Average,Transactions/s,Error %
demo,1并发,10秒,19.64,49.8,0.2%
demo,10并发,10秒,18.35,538.94,0.28%
demo,20并发,10秒,18.44,1069.7,0.56%
