名称,并发数量,持续时间(秒),Average,Transactions/s,Error %
demo,10并发,10秒,18.16,542.33,0.48%
demo,30并发,10秒,112.79,264.19,100.0%
demo,20并发,10秒,92.61,214.85,100.0%
demo,50并发,10秒,85.9,556.37,52.05%
demo,40并发,10秒,20.3,1948.64,1.75%
